OID_,Prj_Cde,Site_Code,GlobalID,MGA_Zone,Easting_MGA,Northing_MGA,Latitude_GDA2020,Longitude_GDA2020,NVIS_Maj_Veg_Subgroup,PrjTargtID,TargetID,TargetName_DB,TargetName,Establishment_Date,last_edited_date,Location,Monumentation,Comments,Baiting___Feral_Predators,Baiting___Grooming_Traps,Baiting___Pigs,Baiting___Rabbits,Bird_Survey,Motion_Camera_Survey,Native_Fauna_Trapping,Sand_Pad_Survey,Nestbox_Survey,Vegetation_Monitoring___Photo_Points,Vegetation_Monitoring___Tree_Health_Quadrat,Vegetation_Monitoring___Quadrat_Species,Vegetation_Monitoring___Vegetation_Intercept,Legacy_PropDB_Site_ID
856,DARW,CDR_011,{83683D5D-C287-497A-8D08-C2C7C61AAB77},50,506611.005799999984447,6736337.491700000129640,-29.50250154,117.068207346000008,32 - Other shrublands,DARW_T06,T06,Yalgoo Shrublands,Yalgoo Shrublands,20/08/2005 0:00,22/08/2022 1:23,6.25 km N of 7 Mile Well on track to Xmas Well. Site located approx 30 m on W side of track. ,1 tagget picket & 1 dropper,"Appears heavily impacted by hitoric sheep grazing. Goat pressure obvious, but not severe. Litter trains along contour in more open patches. Decreasers: eremophita latrobei, Cassia ?charlesiana, Monachather paradoxa.",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,No,No,Unknown,Unknown,Unknown,No,1513
857,DARW,CDR_012,{4B9BD44A-B2E6-4574-BB47-EF98309BFA63},50,505199.005699999979697,6736116.491700000129640,-29.5045028,117.053640457000029,32 - Other shrublands,DARW_T06,T06,Yalgoo Shrublands,Low Granite Hills,20/08/2005 0:00,22/08/2022 1:23,250 m N of Edna Springs Dam.,1 tagged picket & 1 dropper,"Pad stabilization work towards dam, august 2006. Rabbit warren 30m. SSE of first peg. Bigger in WSW 40m. Under Jam clump. Photographs of ? Templetonia refusa - 'cockie's tongues' red flower, Acacia Lochii. Cottonbush plants ripped apart - kangaroos?",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,No,No,Unknown,Unknown,Unknown,Yes,1514
858,DARW,CDR_013,{5CBAE5F5-0407-43FB-80DA-85F867B90CB6},50,503364.005699999979697,6735456.491799999959767,-29.51046578,117.034709980000116,32 - Other shrublands,DARW_T06,T06,Yalgoo Shrublands,Avon Sandplains,20/08/2006 0:00,22/08/2022 1:23,2.7 km N of 7 Mile Well on track to Xmas Well. Site located approx 10 m on W side of track.,"1 tagged picket, 1 dropper",Much (mostly Kangaroo) dung.,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,No,No,Unknown,Unknown,Unknown,Yes,1515
859,DARW,CDR_014,{19EE4E06-33B5-4DD1-89B6-B8E8F8CA405D},50,502453.005699999979697,6734787.491899999789894,-29.5165058,117.025311739000017,32 - Other shrublands,DARW_T06,T06,Yalgoo Shrublands,Avon Sandplains,1/08/2005 0:00,22/08/2022 1:23,1.5 km N of 7 Mile Well on track to Xmas Well. Site located approx 40 m on E side of track.,"1 tagged picket, 1 dropper",Triodia hummocks 10m SW of 1st peg.  See CDR029 regarding surface sealing and recruitment.,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,No,No,Unknown,Unknown,Unknown,Yes,1071
860,DARW,CDR_015,{916B78D2-1CFB-42BB-B274-2694FECA353D},50,500310.005599999974947,6732730.491899999789894,-29.53507313,117.003199428000016,08 - Eucalyptus woodlands with a shrubby understorey,DARW_T02,T02,Eucalypt Woodlands,Avon Sandplains,20/08/2005 0:00,22/08/2022 1:23,1.65 km S of 7 Mile Well on track to Wanarra Rd. Site located on NW side of track.,"2 permanent pickets, tagged","Coords amended 25 March 2008 by Richard M to agree with coords per advice Reserve managers July 2007. Old coords 502452E, 6734786N.",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,No,No,Unknown,Unknown,Unknown,No,1516
861,DARW,CDR_016,{B87FF0A6-88AD-4C80-8C51-C579DA3F5083},50,499720.005599999974947,6731970.491899999789894,-29.54193232,116.997110109000118,08 - Eucalyptus woodlands with a shrubby understorey,DARW_T02,T02,Eucalypt Woodlands,Eucalypt Woodlands,20/08/2005 0:00,22/08/2022 1:23,2.6 km S of 7 Mile Well on track to Wanarra Rd. Site located on W side of track.,"2 permanent pickets, tagged","FAUNA TRAPPING SITE ALSO - Pitfall locations: 
Bucket 1 E.499668 N. 6731943
Bucket 2 E. 499602 N. 6731968
Bucket 3 E. 499615 N. 6732028
Bucket 4 E. 499666 N. 6732013
Cts glauca/coll mixed generations. Grazing on Sev spi, Aly Byx, Rha ere heavy -remnant hardly palatable perennials. Desirable trend: young Satntatum spp. Scaevola, Alyxia, grasses (Austrostipa, Danthonia (? Seed source?)",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,No,No,Unknown,Unknown,Unknown,Yes,1502
862,DARW,CDR_017,{735E7E5F-478D-41DA-A650-FEBC3D35A2EE},50,499244.005599999974947,6731314.491899999789894,-29.54785268,116.992196742000033,08 - Eucalyptus woodlands with a shrubby understorey,DARW_T05,T05,Palaeodrainage Systems And Freshwater Wetlands,Paleaodrainage & Freshwater,1/08/2005 0:00,22/08/2022 1:23,3.4 km S of 7 Mile Well on track to Wanarra Road. Site located on NW side of track.,"2 permanent droppers, tagged","Recovery commenced with Enc tom tree base clumps (tbc's) Desirable trend: soil stability and more E. dielsii, browse recovery, understorey development.",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,No,No,Unknown,Unknown,Unknown,Yes,1072
863,DARW,CDR_018,{73CD6EFB-E7BB-4417-8034-57F7F57F4422},50,498624.005500000028405,6730664.491899999789894,-29.55371854,116.985796377000042,08 - Eucalyptus woodlands with a shrubby understorey,DARW_T02,T02,Eucalypt Woodlands,Paleaodrainage & Freshwater,20/08/2005 0:00,22/08/2022 1:23,4.4 km S of 7 Mile Well on track to Wanarra Rd. Site located on SE side of track.,"2 permanent pickets, tagged","FAUNA TRAPPING SITE, Pitfall locations:
Bucket 1 E. 498665 N. 6730601
Bucket 2 E. 498714 N. 6730586
Bucket 3 E. 498737 N. 6730662
Bucket 4 E. 498691 N. 6730689
Key decreasers on site: Austrostipa elegantissima, Eremophila oppositifoloia, Exocarpus aphylla, Enchylaena tomentosa, Scaevola spinescens, mairenna thesoides, Pimelia microcephala. Soil is profoundly degraded with fragmentation of A-horizon and scalding - but still adequate topsoil to support a major recovery with adequate TGP contr",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,No,No,Unknown,Unknown,Unknown,Yes,1503
864,DARW,CDR_019,{86EDE4A7-5C8F-47DF-B973-969D240ED231},50,497131.005500000028405,6728280.491999999620020,-29.57523209,116.970378695000022,32 - Other shrublands,DARW_T02,T02,Eucalypt Woodlands,Avon Sandplains,1/08/2005 0:00,22/08/2022 1:23,150 m N of Wanarra Rd on track to 7 Mile Well (E side of road).,"2 permanent pickets, tagged","B peg: 497146E, 6728237N
Location details transscribed from ACCESS data 25 March 2008 - Richard M",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,No,No,Unknown,Unknown,Unknown,Yes,1073
865,DARW,CDR_020,{E87810C8-86B9-47C5-8546-51A1F5969427},50,496812.005300000018906,6723986.491999999620020,-29.61398536,116.967072554000083,32 - Other shrublands,DARW_T02,T02,Eucalypt Woodlands,Eucalypt Woodlands,20/08/2005 0:00,22/08/2022 1:23,Approx 3.5 km S of Homestead. W side of South Track in York Gum woodland.,"2 droppers, 50m apart","Eucalyptus Loxophleba reseeding, also Acacia acuminata and Grevillea sp. Rabbit activity moderate to heavy. Large open areas without cover to the west.
B peg: 496815E, 6723936N. Coords amended RichardM 25 March 2008 to suit advice Reserve Managers.",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,No,No,Unknown,Unknown,Unknown,Yes,1504
866,DARW,CDR_021,{10A84297-64D4-456F-B8AF-D914D6BA4A93},50,496976.005300000018906,6723125.491999999620020,-29.62175641,116.968764044000068,08 - Eucalyptus woodlands with a shrubby understorey,DARW_T02,T02,Eucalypt Woodlands,Eucalypt Woodlands,20/08/2005 0:00,22/08/2022 1:23,4.3 km S of Homestead along South Track. Site located approx 80 m E of track.,"2 permanent pickets, tagged",,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,No,No,Unknown,Unknown,Unknown,Yes,1505
867,DARW,CDR_022,{E246E4E4-5129-4D5B-9A11-C9A0F4302C49},50,496782.005300000018906,6722089.491899999789894,-29.63110595,116.966757078000114,21 - Other Acacia tall open shrublands and [tall] shrublands,DARW_T01,T01,Avon Sandplains,Avon Sandplains,20/08/2005 0:00,22/08/2022 1:23,5.4 km S of Homestead on South Track. Site located 100 m W of track.,"2 permanent pickets, tagged","Low shrub dominant collected, also was common and CDR021. Dominant Mallee collected.",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,No,No,Unknown,Unknown,Unknown,No,1506
868,DARW,CDR_023,{848EA6C4-D2B5-4ABF-B82A-068504753C5A},50,496936.005300000018906,6721583.491999999620020,-29.63567304,116.968346519000079,08 - Eucalyptus woodlands with a shrubby understorey,DARW_T02,T02,Eucalypt Woodlands,Eucalypt Woodlands,20/08/2005 0:00,22/08/2022 1:23,6 km S of Homestead on South Track. Site located approx 40 m on E side of track (approx 500 m N of Smith Well).,"2 permanent pickets, tagged","Key decreasers: Danthonia caespitosa Austrostipa elegantissima, A. sp. Berry fruity sp. (Enc tom., Rhagodias, Scaevola (on site) etc.) Ptilotus drummondii. Check for rabbits (not seen, but not examined carefully).",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,No,No,Unknown,Unknown,Unknown,Yes,1517
869,DARW,CDR_024,{A5ED05AB-E2D6-48E6-A0AD-E4BEBD5A56EF},50,496970.005200000014156,6720675.491899999789894,-29.64386792,116.968695231000083,08 - Eucalyptus woodlands with a shrubby understorey,DARW_T02,T02,Eucalypt Woodlands,Eucalypt Woodlands,20/08/2005 0:00,22/08/2022 1:23,300 m S of Smith Well on South Track. Site located approx 50 m E of track.,"2 permanent pickets, tagged","FAUNA TRAPPING SITE - pitfall locations:
Bucket 1 E. 496975 N. 6720707
Bucket 2 E. 497064 N. 6720715
Bucket 3 E. 497034 N. 6720642
Bucket 4 E. 496977 N. 6720643",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,No,No,Unknown,Unknown,Unknown,Yes,1518
870,DARW,CDR_025,{AD17E781-0FF8-4BE7-A105-2BCF84751641},50,496761.005200000014156,6719175.491999999620020,-29.65740502,116.966531443000008,21 - Other Acacia tall open shrublands and [tall] shrublands,DARW_T01,T01,Avon Sandplains,Avon Sandplains,1/08/2005 0:00,22/08/2022 1:23,1.8 km S of Smith Well on South Track. Site located approx 150 m W of track.,"1 tagged picket, 1 dropper","Emergin taxa: Acacia spp, Proteaceae, Allocasuarina.  Unburnt to east: Ecoleicolea monostachya, scattered Allocasuaria ?quadrivalvis to 4m over Acaia, Hakea, Thryptomene thicket to 1.9m.  ",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,No,No,Unknown,Unknown,Unknown,Yes,1074
871,DARW,CDR_026,{27A0D91F-3A7C-412E-B403-39F54B4EAC3E},50,497011.005100000009406,6717458.491899999789894,-29.67290169,116.969109959000093,08 - Eucalyptus woodlands with a shrubby understorey,DARW_T01,T01,Avon Sandplains,Avon Sandplains,20/08/2005 0:00,22/08/2022 1:23,3.5 km S of Smith Well on South Track (10.1 km from Homestead). Site located approx 50 m on E side of track.,"1 tagged picket, 1 dropper","Need to age these fires, E and W of track. Sedge collected. 
*N.B Transect bearing given as 145, whereas GPS unit claimed 160.",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,No,No,Unknown,Unknown,Unknown,Yes,1519
872,DARW,CDR_027,{A0CF4CD2-0E29-42FE-A3C2-8251C839381A},50,496907.005100000009406,6715216.491899999789894,-29.69313558,116.968028759000049,21 - Other Acacia tall open shrublands and [tall] shrublands,DARW_T01,T01,Avon Sandplains,Avon Sandplains,20/08/2005 0:00,22/08/2022 1:23,5.7 km S of Smith Well on South Track (12.3 km S of Homestead). Site located approx 30 m on W side of track.,"1 tagged picket, 1 dropper",? Parrot scraping poplars - probably after bovers? Some huge stumps - probably Allocasuarina - could this sp. Be a big tree if unburnt. Need to map longest unburnt sandplain.,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,No,No,Unknown,Unknown,Unknown,Yes,1520
873,DARW,CDR_028,{4B91B442-2D26-4EE9-B9A0-55F285FC863E},50,497041.005000000004657,6714414.491999999620020,-29.70037398,116.969411678000029,21 - Other Acacia tall open shrublands and [tall] shrublands,,,,Low Granite Hills,20/08/2005 0:00,22/08/2022 1:23,"13.3 km S of Homestead along South Track at breakaway ""jump-up"". Site located approx 130 km ENE off track at white drum, S of granites/bend in track.","1 tagged picket, 1 dropper",Melaleuca radula or fulgers?,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,No,No,Unknown,Unknown,Unknown,Yes,1521
874,DARW,CDR_029,{34272481-8D7B-4DCE-9676-F3C5C916CCC8},50,496891.005000000004657,6714721.491999999620020,-29.69760293,116.967861950000042,21 - Other Acacia tall open shrublands and [tall] shrublands,DARW_T01,T01,Avon Sandplains,Avon Sandplains,1/08/2005 0:00,22/08/2022 1:23,6.2 km S of Smiths Well along South Track (12.8 km S of Homestead). Site located approx 50 m W of track.,1 tagged picket & s dropper,There is little recruitment on seasled surfaces - which are very common in CDR014.  Not certain if seals develop between recruits or drive recruitment pattern.,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,No,No,Unknown,Unknown,Unknown,Yes,1075
875,DARW,CDR_030,{C4B8DDCC-387F-4EFF-9ED0-83D044F854DE},50,496779.004899999999907,6710413.491999999620020,-29.73648233,116.966691358000048,21 - Other Acacia tall open shrublands and [tall] shrublands,DARW_T01,T01,Avon Sandplains,Avon Sandplains,1/08/2005 0:00,22/08/2022 1:23,S end of South Track near boundary fence gate. Site located approx 70 m NE of gate and track junction.,1 tagged picket & 1 dropper,"Old mallee fowl nest 20m north of B-peg.  Shrubs emerginf from seed, Ecl mon mostly resprouting, occasional reseer.  Regeneration appears slower than along White Dam track ?soil or fire differences?",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,No,No,Unknown,Unknown,Unknown,Yes,1076
876,DARW,CDR_031,{4E53EE7B-DA2D-44E4-A2D2-28B104BD59D6},50,501680.004899999999907,6710413.491799999959767,-29.73648538,117.017373104000058,08 - Eucalyptus woodlands with a shrubby understorey,,,,Eucalypt Woodlands,20/08/2005 0:00,22/08/2022 1:23,Across track / fence immediately S of Judy's Dam. 22.2 km from Homestead following South Track then heading E along S boundary fence.,"2 permanent pickets, tagged","Dense patches of saplings to 6m. Need to check Eucalypt Ids. Judy's Dam appears not to hold water well.
STIE ALSO USED as Conservation Council Climate Change monitoring site.",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,No,No,Unknown,Unknown,Unknown,Yes,1522
877,DARW,CDR_032,{D08BE895-6574-437A-A2D9-A2D3334C4649},50,500227.004899999999907,6710415.491799999959767,-29.73646845,117.002347481000015,21 - Other Acacia tall open shrublands and [tall] shrublands,DARW_T02,T02,Eucalypt Woodlands,Eucalypt Woodlands,1/08/2005 0:00,22/08/2022 1:23,"20.8 km from Homestead along South Track, then heading East along S boundary fence. Site located approx 20 m S of track/fence.",1 tagged picket & 1 dropper,Understorey very poorly developed but not oviously a grazing issue - key palatables in open.  Shade etc?,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,No,No,Unknown,Unknown,Unknown,Yes,1077
878,DARW,CDR_033,{EC0A15F9-2D9B-4C8B-875F-AD6F8D08BFD9},50,502285.004899999999907,6710308.491700000129640,-29.73743204,117.023629694000078,08 - Eucalyptus woodlands with a shrubby understorey,DARW_T02,T02,Eucalypt Woodlands,Eucalypt Woodlands,1/08/2005 0:00,22/08/2022 1:23,700 m W of S fence & St Josephs Track junction. Site located approx 160 m S of fence/track.,2 droppers,"Very rich and well-developed succulent ephemeral flora.  Sclerolaena sp.
ALSO USED by Conservation Council as a CLIMATE CHANGE SITE.
Young sandalwood locations near site (measured Mar2008):
E. 502261 N. 6710326 [<1m tall]
E. 502221 N. 6710452 [Approx. 1.5m]
E. 502164 N. 6710457 [Approx 1.5m]",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,No,No,Unknown,Unknown,Unknown,Yes,1078
879,DARW,CDR_034,{7D1075D2-DFCE-411B-8088-43D1E42A1FFF},50,509663.005200000014156,6717351.491600000299513,-29.67383335,117.099864107000030,21 - Other Acacia tall open shrublands and [tall] shrublands,DARW_T02,T02,Eucalypt Woodlands,Eucalypt Woodlands,1/01/2008 0:00,22/08/2022 1:23,"E boundary, 800 m N of junction with track heading W to St Josephs Well.  Site located approx 90 m W of fence/track.",2 droppers,"Excellent examples of natural filtering / stabilizing (woiring?) beyond edges (see photos)
[Stick nest rat site in Breakaways to W of site]",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,No,No,Unknown,Unknown,Unknown,Yes,1523
880,DARW,CDR_035,{1E6879AF-23F6-4BF0-A6E2-698E3671FC9D},50,509730.005200000014156,6718316.491499999538064,-29.66512366,117.100547867000046,21 - Other Acacia tall open shrublands and [tall] shrublands,DARW_T01,T01,Avon Sandplains,Avon Sandplains,1/08/2005 0:00,22/08/2022 1:23,E boundary 1.7 km N of junction with track heading W to St Josephs Well.  Site located approx 30 m on W side of track.,2 droppers,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,No,No,Unknown,Unknown,Unknown,Yes,1079
881,DARW,CDR_036,{2046A430-EB20-47CE-8FB8-360FDFE75CFC},50,509473.005300000018906,6722141.491600000299513,-29.63060472,117.097858691000056,21 - Other Acacia tall open shrublands and [tall] shrublands,DARW_T01,T01,Avon Sandplains,Avon Sandplains,1/08/2005 0:00,22/08/2022 1:23,5.9 km E of Browns Well on track to E boundary. Site located approx 30 m S of track.,2 droppers,Most shrubs less than hip (1m) high,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,No,No,Unknown,Unknown,Unknown,Yes,1080
882,DARW,CDR_037,{1D410036-018F-40BE-ACBF-09B955D485C5},50,508055.005300000018906,6722135.491600000299513,-29.63066886,117.083210428000029,21 - Other Acacia tall open shrublands and [tall] shrublands,DARW_T01,T01,Avon Sandplains,Avon Sandplains,1/08/2005 0:00,22/08/2022 1:23,4.5 km E of Browns Well on track to E boundary. Site located approx 20 m S of track.,2 droppers,Coconocarpus cotinifolius already dead on ground.  Duboisia hopwoodii.,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,No,No,Unknown,Unknown,Unknown,Yes,1081
883,DARW,CDR_038,{BCBBBA41-B9A0-4E39-91CF-13380F1564C2},50,505993.005300000018906,6722166.491700000129640,-29.63040074,117.061909240000091,21 - Other Acacia tall open shrublands and [tall] shrublands,DARW_T01,T01,Avon Sandplains,Avon Sandplains,20/08/2005 0:00,22/08/2022 1:23,2.4 km E of Browns Well on track to E boundary. Site located approx 20 m N of track.,2 droppers,Sunset site - needs completion on ground.,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,No,No,Unknown,Unknown,Unknown,Yes,1524
884,DARW,CDR_039,{FE864A1F-CA58-456C-9F45-D61E8F0840AD},50,490854.005100000009406,6715719.492100000381470,-29.68856612,116.905465245000073,21 - Other Acacia tall open shrublands and [tall] shrublands,DARW_T04,T04,Low Granite Hills And Breakaways,Low Granite Hills,20/08/2005 0:00,22/08/2022 1:23,Approx 300 m at 305 degrees from White Dam.,,"Strong moss cover in moist areas (Photoid), lichens (Foliose) profuse, ? Lizard Traps?.",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,No,No,Unknown,Unknown,Unknown,Yes,1525
885,DARW,CDR_040,{DCF98303-4044-4406-8C4E-57DBE90EBA98},50,491735.005100000009406,6715784.492100000381470,-29.68798568,116.914571917000103,21 - Other Acacia tall open shrublands and [tall] shrublands,DARW_T04,T04,Low Granite Hills And Breakaways,Low Granite Hills,1/08/2005 0:00,22/08/2022 1:23,10.3 km S of Salmon Gum track junction W of Homestead. Site located W of track (just N of White Dam).,"1 tagged picket, 1 dropper","Gastrolobium laytonii on site.  Extremely heavily grazed Goodenia.  Abundant kangaroo activity, odd old goat scat.  Collectd: pale crimson/pink Calytrix, Goodenia ""sticks"".",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,No,No,Unknown,Unknown,Unknown,Yes,1082
