Source,Prj_Cde,Site_ID,Staff_Name,Additional_Personnel,Date,TimeStart,ExtraTimeEnd,Survey_duration_minutes,Year,Survey_design,Number_of_observers,Site_field_notes,All_species_recorded,Cloud_cover,Wind_strength,Temperature(C),Scientific_Name,English_Name,Birdlife_bird_count,Bird_within_survey_area,Birdlife_field_notes,Max_dist_from_start,TIME 1ST CONTACT,CCWA_TIME 2ND CONTACT,CCWA_Latitude,CCWA_Longitude,CCWA_Order,CCWA_SiteSurveyNumber,CCWA_CumulativeSpeciesCount
2014-15Expt,DARW,CDR_038,Boyd Wykes,,2014/09/05,13:51,,20,2014,"Birdlife 2 ha, 20 minute search",1,,,5.5,Calm,,Colluricincla harmonica,Grey Shrike-thrush,1,Within survey limits,,,,,,,,,
2014-15Expt,DARW,CDR_038,Boyd Wykes,,2014/09/05,13:51,,20,2014,"Birdlife 2 ha, 20 minute search",1,,,5.5,Calm,,Acanthiza apicalis,Inland Thornbill,3,Within survey limits,,,,,,,,,
2014-15Expt,DARW,CDR_038,Boyd Wykes,,2014/09/05,13:51,,20,2014,"Birdlife 2 ha, 20 minute search",1,,,5.5,Calm,,Pachycephala rufiventris,Rufous Whistler,1,Within survey limits,,,,,,,,,
2014-15Expt,DARW,CDR_038,Boyd Wykes,,2014/09/05,13:51,,20,2014,"Birdlife 2 ha, 20 minute search",1,,,5.5,Calm,,Rhipidura leucophrys,Willie Wagtail,1,Within survey limits,,,,,,,,,
2014-15Expt,DARW,CDR_038,Liz Fox,,2014/09/05,14:58,,20,2014,"Birdlife 2 ha, 20 minute search",1,,,4,Leaves,,Oreoica gutturalis,Crested Bellbird,1,Within survey limits,,,,,,,,,
2014-15Expt,DARW,CDR_038,Liz Fox,,2014/09/05,14:58,,20,2014,"Birdlife 2 ha, 20 minute search",1,,,4,Leaves,,Colluricincla harmonica,Grey Shrike-thrush,1,Within survey limits,,,,,,,,,
2014-15Expt,DARW,CDR_038,Liz Fox,,2014/09/05,14:58,,20,2014,"Birdlife 2 ha, 20 minute search",1,,,4,Leaves,,Pachycephala rufiventris,Rufous Whistler,1,Within survey limits,,,,,,,,,
2014-15Expt,DARW,CDR_038,Liz Fox,,2014/09/05,14:58,,20,2014,"Birdlife 2 ha, 20 minute search",1,,,4,Leaves,,Acanthagenys rufogularis,Spiny-cheeked Honeyeater,1,Within survey limits,,,,,,,,,
2014-15Expt,DARW,CDR_038,Liz Fox,,2014/09/05,14:58,,20,2014,"Birdlife 2 ha, 20 minute search",1,,,4,Leaves,,Smicrornis brevirostris,Weebill,2,Within survey limits,,,,,,,,,
2014-15Expt,DARW,CDR_038,Liz Fox,,2014/09/05,14:58,,20,2014,"Birdlife 2 ha, 20 minute search",1,,,4,Leaves,,Lichenostomus leucotis,White-eared Honeyeater,1,Within survey limits,,,,,,,,,
2014-15Expt,DARW,CDR_038,Frank O'Connor,,2014/09/05,16:17,,20,2014,"Birdlife 2 ha, 20 minute search",1,,,5,Leaves,,Oreoica gutturalis,Crested Bellbird,1,Within survey limits,,,,,,,,,
2014-15Expt,DARW,CDR_038,Frank O'Connor,,2014/09/05,16:17,,20,2014,"Birdlife 2 ha, 20 minute search",1,,,5,Leaves,,Colluricincla harmonica,Grey Shrike-thrush,1,Within survey limits,,,,,,,,,
2014-15Expt,DARW,CDR_038,Frank O'Connor,,2014/09/05,16:17,,20,2014,"Birdlife 2 ha, 20 minute search",1,,,5,Leaves,,Pachycephala rufiventris,Rufous Whistler,1,Within survey limits,,,,,,,,,
2014-15Expt,DARW,CDR_038,Frank O'Connor,,2014/09/05,16:17,,20,2014,"Birdlife 2 ha, 20 minute search",1,,,5,Leaves,,Lichenostomus virescens,Singing Honeyeater,1,Within survey limits,,,,,,,,,
2014-15Expt,DARW,CDR_038,Frank O'Connor,,2014/09/05,16:17,,20,2014,"Birdlife 2 ha, 20 minute search",1,,,5,Leaves,,Sericornis frontalis,White-browed Scrubwren,1,Within survey limits,,,,,,,,,
2014-15Expt,DARW,CDR_038,Frank O'Connor,,2014/09/05,16:17,,20,2014,"Birdlife 2 ha, 20 minute search",1,,,5,Leaves,,Rhipidura leucophrys,Willie Wagtail,1,Within survey limits,,,,,,,,,
2014-15Expt,DARW,CDR_038,Frank O'Connor,,2014/09/05,16:17,,20,2014,"Birdlife 2 ha, 20 minute search",1,,,5,Leaves,,Drymodes brunneopygia,Southern Scrub-robin,2,Within survey limits,,,,,,,,,
2014-15Expt,DARW,CDR_040,Stewart Ford,,2014/09/05,10:15,,20,2014,"Birdlife 2 ha, 20 minute search",1,,,7,Branches,,Eolophus roseicapillus,Galah,2,Within survey limits,,,,,,,,,
2014-15Expt,DARW,CDR_040,Stewart Ford,,2014/09/05,10:15,,20,2014,"Birdlife 2 ha, 20 minute search",1,,,7,Branches,,Eurostopodus argus,Spotted Nightjar,1,Within survey limits,,,,,,,,,
2014-15Expt,DARW,CDR_040,Stewart Ford,,2014/09/05,10:15,,20,2014,"Birdlife 2 ha, 20 minute search",1,,,7,Branches,,Pomatostomus superciliosus,White-browed Babbler,1,Within survey limits,,,,,,,,,
2014-15Expt,DARW,CDR_040,Liz Fox,,2014/09/05,11:02,,20,2014,"Birdlife 2 ha, 20 minute search",1,,,6,Twigs,,Eolophus roseicapillus,Galah,1,Within survey limits,,,,,,,,,
2014-15Expt,DARW,CDR_040,Liz Fox,,2014/09/05,11:02,,20,2014,"Birdlife 2 ha, 20 minute search",1,,,6,Twigs,,Acanthiza apicalis,Inland Thornbill,1,Within survey limits,,,,,,,,,
2014-15Expt,DARW,CDR_040,Liz Fox,,2014/09/05,11:02,,20,2014,"Birdlife 2 ha, 20 minute search",1,,,6,Twigs,,Lichenostomus virescens,Singing Honeyeater,1,Within survey limits,,,,,,,,,
2014-15Expt,DARW,CDR_040,Liz Fox,,2014/09/05,11:02,,20,2014,"Birdlife 2 ha, 20 minute search",1,,,6,Twigs,,Purnella albifrons,White-fronted Honeyeater,1,Within survey limits,,,,,,,,,
2014-15Expt,DARW,CDR_040,Stewart Ford,,2014/09/05,10:15,,20,2014,"Birdlife 2 ha, 20 minute search",1,,,7,Branches,,Drymodes brunneopygia,Southern Scrub-robin,1,Within survey limits,,,,,,,,,
2014-15Expt,DARW,CDR_040,Liz Fox,,2014/09/05,11:02,,20,2014,"Birdlife 2 ha, 20 minute search",1,,,6,Twigs,,Drymodes brunneopygia,Southern Scrub-robin,2,Within survey limits,,,,,,,,,
2014-15Expt,DARW,CDR_041,Boyd Wykes,,2014/09/05,9:02,,20,2014,"Birdlife 2 ha, 20 minute search",1,,,2,Twigs,,Chalcites basalis,Horsfield's Bronze-Cuckoo,1,Within survey limits,,,,,,,,,
2014-15Expt,DARW,CDR_041,Frank O'Connor,,2014/09/05,8:20,,20,2014,"Birdlife 2 ha, 20 minute search",1,,,7,Leaves,,Cracticus tibicen,Australian Magpie,1,Within survey limits,,,,,,,,,
2014-15Expt,DARW,CDR_041,Frank O'Connor,,2014/09/05,8:20,,20,2014,"Birdlife 2 ha, 20 minute search",1,,,7,Leaves,,Oreoica gutturalis,Crested Bellbird,1,Within survey limits,,,,,,,,,
2014-15Expt,DARW,CDR_041,Frank O'Connor,,2014/09/05,8:20,,20,2014,"Birdlife 2 ha, 20 minute search",1,,,7,Leaves,,Rhipidura albiscapa,Grey Fantail,1,Within survey limits,,,,,,,,,
2014-15Expt,DARW,CDR_041,Frank O'Connor,,2014/09/05,8:20,,20,2014,"Birdlife 2 ha, 20 minute search",1,,,7,Leaves,,Colluricincla harmonica,Grey Shrike-thrush,1,Within survey limits,,,,,,,,,
2014-15Expt,DARW,CDR_041,Frank O'Connor,,2014/09/05,8:20,,20,2014,"Birdlife 2 ha, 20 minute search",1,,,7,Leaves,,Lichenostomus virescens,Singing Honeyeater,2,Within survey limits,,,,,,,,,
2014-15Expt,DARW,CDR_041,Frank O'Connor,,2014/09/05,8:20,,20,2014,"Birdlife 2 ha, 20 minute search",1,,,7,Leaves,,Smicrornis brevirostris,Weebill,1,Within survey limits,,,,,,,,,
2014-15Expt,DARW,CDR_041,Frank O'Connor,,2014/09/05,8:20,,20,2014,"Birdlife 2 ha, 20 minute search",1,,,7,Leaves,,Eopsaltria griseogularis,Western Yellow Robin,1,Within survey limits,,,,,,,,,
2014-15Expt,DARW,CDR_041,Frank O'Connor,,2014/09/05,8:20,,20,2014,"Birdlife 2 ha, 20 minute search",1,,,7,Leaves,,Sericornis frontalis,White-browed Scrubwren,1,Within survey limits,,,,,,,,,
2014-15Expt,DARW,CDR_041,Boyd Wykes,,2014/09/05,9:02,,20,2014,"Birdlife 2 ha, 20 minute search",1,,,2,Twigs,,Acanthiza uropygialis,Chestnut-rumped Thornbill,1,Within survey limits,,,,,,,,,
2014-15Expt,DARW,CDR_041,Boyd Wykes,,2014/09/05,9:02,,20,2014,"Birdlife 2 ha, 20 minute search",1,,,2,Twigs,,Acanthiza apicalis,Inland Thornbill,1,Within survey limits,,,,,,,,,
2014-15Expt,DARW,CDR_041,Boyd Wykes,,2014/09/05,9:02,,20,2014,"Birdlife 2 ha, 20 minute search",1,,,2,Twigs,,Pachycephala rufiventris,Rufous Whistler,1,Within survey limits,,,,,,,,,
2014-15Expt,DARW,CDR_041,Boyd Wykes,,2014/09/05,9:02,,20,2014,"Birdlife 2 ha, 20 minute search",1,,,2,Twigs,,Smicrornis brevirostris,Weebill,2,Within survey limits,,,,,,,,,
2014-15Expt,DARW,CDR_041,Boyd Wykes,,2014/09/05,9:02,,20,2014,"Birdlife 2 ha, 20 minute search",1,,,2,Twigs,,Eopsaltria griseogularis,Western Yellow Robin,2,Within survey limits,,,,,,,,,
2014-15Expt,DARW,CDR_041,Boyd Wykes,,2014/09/05,9:02,,20,2014,"Birdlife 2 ha, 20 minute search",1,,,2,Twigs,,Pomatostomus superciliosus,White-browed Babbler,5,Within survey limits,,,,,,,,,
2014-15Expt,DARW,CDR_041,Stewart Ford,,2014/09/05,9:30,,20,2014,"Birdlife 2 ha, 20 minute search",1,,,7,Branches,,Pachycephala rufiventris,Rufous Whistler,2,Within survey limits,,,,,,,,,
2014-15Expt,DARW,CDR_041,Stewart Ford,,2014/09/05,9:30,,20,2014,"Birdlife 2 ha, 20 minute search",1,,,7,Branches,,Pomatostomus superciliosus,White-browed Babbler,1,Within survey limits,,,,,,,,,
2014-15Expt,DARW,CDR_041,Frank O'Connor,,2014/09/05,8:20,,20,2014,"Birdlife 2 ha, 20 minute search",1,,,7,Leaves,,Drymodes brunneopygia,Southern Scrub-robin,1,Within survey limits,,,,,,,,,
2014-15Expt,DARW,CDR_042,Chris Wilder,,2014/09/05,10:10,,20,2014,"Birdlife 2 ha, 20 minute search",1,,,7,Leaves,,Acanthiza uropygialis,Chestnut-rumped Thornbill,1,Within survey limits,,,,,,,,,
2014-15Expt,DARW,CDR_042,Chris Wilder,,2014/09/05,10:10,,20,2014,"Birdlife 2 ha, 20 minute search",1,,,7,Leaves,,Ocyphaps lophotes,Crested Pigeon,1,Within survey limits,,,,,,,,,
2014-15Expt,DARW,CDR_042,Chris Wilder,,2014/09/05,10:10,,20,2014,"Birdlife 2 ha, 20 minute search",1,,,7,Leaves,,Acanthiza apicalis,Inland Thornbill,2,Within survey limits,,,,,,,,,
2014-15Expt,DARW,CDR_042,Chris Wilder,,2014/09/05,10:10,,20,2014,"Birdlife 2 ha, 20 minute search",1,,,7,Leaves,,Pyrrholaemus brunneus,Redthroat,3,Within survey limits,,,,,,,,,
2014-15Expt,DARW,CDR_042,Chris Wilder,,2014/09/05,10:10,,20,2014,"Birdlife 2 ha, 20 minute search",1,,,7,Leaves,,Pardalotus striatus,Striated Pardalote,1,Within survey limits,,,,,,,,,
2014-15Expt,DARW,CDR_042,Chris Wilder,,2014/09/05,10:10,,20,2014,"Birdlife 2 ha, 20 minute search",1,,,7,Leaves,,Smicrornis brevirostris,Weebill,1,Within survey limits,,,,,,,,,
2014-15Expt,DARW,CDR_042,Frank O'Connor,,2014/09/05,10:58,,20,2014,"Birdlife 2 ha, 20 minute search",1,,,8,Leaves,,Acanthiza apicalis,Inland Thornbill,1,Within survey limits,,,,,,,,,
2014-15Expt,DARW,CDR_042,Frank O'Connor,,2014/09/05,10:58,,20,2014,"Birdlife 2 ha, 20 minute search",1,,,8,Leaves,,Lichenostomus virescens,Singing Honeyeater,1,Within survey limits,,,,,,,,,
2014-15Expt,DARW,CDR_042,Frank O'Connor,,2014/09/05,10:58,,20,2014,"Birdlife 2 ha, 20 minute search",1,,,8,Leaves,,Smicrornis brevirostris,Weebill,1,Within survey limits,,,,,,,,,
2014-15Expt,DARW,CDR_042,Chris Wilder,,2014/09/05,10:10,,20,2014,"Birdlife 2 ha, 20 minute search",1,,,7,Leaves,,Drymodes brunneopygia,Southern Scrub-robin,1,Within survey limits,,,,,,,,,
2014-15Expt,DARW,CDR_043,Stewart Ford,,2014/09/05,8:49,,20,2014,"Birdlife 2 ha, 20 minute search",1,,,6,Branches,,Lichenostomus virescens,Singing Honeyeater,1,Within survey limits,,,,,,,,,
2014-15Expt,DARW,CDR_043,Stewart Ford,,2014/09/05,8:49,,20,2014,"Birdlife 2 ha, 20 minute search",1,,,6,Branches,,Purnella albifrons,White-fronted Honeyeater,1,Within survey limits,,,,,,,,,
2014-15Expt,DARW,CDR_043,Liz Fox,,2014/09/05,9:00,,20,2014,"Birdlife 2 ha, 20 minute search",1,,,4,Twigs,,Colluricincla harmonica,Grey Shrike-thrush,1,Within survey limits,,,,,,,,,
2014-15Expt,DARW,CDR_043,Liz Fox,,2014/09/05,9:00,,20,2014,"Birdlife 2 ha, 20 minute search",1,,,4,Twigs,,Lichenostomus virescens,Singing Honeyeater,2,Within survey limits,,,,,,,,,
2014-15Expt,DARW,CDR_043,Frank O'Connor,,2014/09/05,10:07,,20,2014,"Birdlife 2 ha, 20 minute search",1,,,8,Twigs,,Lichenostomus virescens,Singing Honeyeater,2,Within survey limits,,,,,,,,,
2014-15Expt,DARW,CDR_063,Stewart Ford,,2014/09/05,13:56,,20,2014,"Birdlife 2 ha, 20 minute search",1,,,7,Branches,,Colluricincla harmonica,Grey Shrike-thrush,1,Within survey limits,,,,,,,,,
2014-15Expt,DARW,CDR_063,Stewart Ford,,2014/09/05,13:56,,20,2014,"Birdlife 2 ha, 20 minute search",1,,,7,Branches,,Pachycephala rufiventris,Rufous Whistler,1,Within survey limits,,,,,,,,,
2014-15Expt,DARW,CDR_063,Chris Wilder,,2014/09/05,14:50,,20,2014,"Birdlife 2 ha, 20 minute search",1,,,6,Leaves,,Oreoica gutturalis,Crested Bellbird,1,Within survey limits,,,,,,,,,
2014-15Expt,DARW,CDR_063,Chris Wilder,,2014/09/05,14:50,,20,2014,"Birdlife 2 ha, 20 minute search",1,,,6,Leaves,,Colluricincla harmonica,Grey Shrike-thrush,1,Within survey limits,,,,,,,,,
2014-15Expt,DARW,CDR_063,Chris Wilder,,2014/09/05,14:50,,20,2014,"Birdlife 2 ha, 20 minute search",1,,,6,Leaves,,Pachycephala rufiventris,Rufous Whistler,1,Within survey limits,,,,,,,,,
2014-15Expt,DARW,CDR_063,Boyd Wykes,,2014/09/05,16:10,,20,2014,"Birdlife 2 ha, 20 minute search",1,,,4,Calm,,Oreoica gutturalis,Crested Bellbird,1,Within survey limits,,,,,,,,,
2014-15Expt,DARW,CDR_063,Boyd Wykes,,2014/09/05,16:10,,20,2014,"Birdlife 2 ha, 20 minute search",1,,,4,Calm,,Colluricincla harmonica,Grey Shrike-thrush,1,Within survey limits,,,,,,,,,
2014-15Expt,DARW,CDR_063,Boyd Wykes,,2014/09/05,16:10,,20,2014,"Birdlife 2 ha, 20 minute search",1,,,4,Calm,,Pachycephala rufiventris,Rufous Whistler,1,Within survey limits,,,,,,,,,
2014-15Expt,DARW,CDR_064,Liz Fox,,2014/09/05,14:00,,20,2014,"Birdlife 2 ha, 20 minute search",1,,,6,Leaves,,Pachycephala inornata,Gilbert's Whistler,1,Within survey limits,,,,,,,,,
2014-15Expt,DARW,CDR_064,Frank O'Connor,,2014/09/05,15:11,,20,2014,"Birdlife 2 ha, 20 minute search",1,,,6,Leaves,,Pachycephala inornata,Gilbert's Whistler,1,Within survey limits,,,,,,,,,
2014-15Expt,DARW,CDR_064,Stewart Ford,,2014/09/05,16:22,,20,2014,"Birdlife 2 ha, 20 minute search",1,,,6,Twigs,,Smicrornis brevirostris,Weebill,2,Within survey limits,,,,,,,,,
2014-15Expt,DARW,CDR_079,Chris Wilder,,2014/09/05,9:00,,20,2014,"Birdlife 2 ha, 20 minute search",1,,,7,Leaves,,Oreoica gutturalis,Crested Bellbird,1,Within survey limits,,,,,,,,,
2014-15Expt,DARW,CDR_079,Chris Wilder,,2014/09/05,9:00,,20,2014,"Birdlife 2 ha, 20 minute search",1,,,7,Leaves,,Colluricincla harmonica,Grey Shrike-thrush,2,Within survey limits,,,,,,,,,
2014-15Expt,DARW,CDR_079,Chris Wilder,,2014/09/05,9:00,,20,2014,"Birdlife 2 ha, 20 minute search",1,,,7,Leaves,,Pyrrholaemus brunneus,Redthroat,2,Within survey limits,,,,,,,,,
2014-15Expt,DARW,CDR_079,Chris Wilder,,2014/09/05,9:00,,20,2014,"Birdlife 2 ha, 20 minute search",1,,,7,Leaves,,Lichenostomus virescens,Singing Honeyeater,2,Within survey limits,,,,,,,,,
2014-15Expt,DARW,CDR_079,Chris Wilder,,2014/09/05,9:00,,20,2014,"Birdlife 2 ha, 20 minute search",1,,,7,Leaves,,Pardalotus striatus,Striated Pardalote,1,Within survey limits,,,,,,,,,
2014-15Expt,DARW,CDR_079,Chris Wilder,,2014/09/05,9:00,,20,2014,"Birdlife 2 ha, 20 minute search",1,,,7,Leaves,,Pomatostomus superciliosus,White-browed Babbler,3,Within survey limits,,,,,,,,,
2014-15Expt,DARW,CDR_079,Boyd Wykes,,2014/09/05,10:16,,20,2014,"Birdlife 2 ha, 20 minute search",1,,,7,Calm,,Oreoica gutturalis,Crested Bellbird,1,Within survey limits,,,,,,,,,
2014-15Expt,DARW,CDR_079,Boyd Wykes,,2014/09/05,10:16,,20,2014,"Birdlife 2 ha, 20 minute search",1,,,7,Calm,,Colluricincla harmonica,Grey Shrike-thrush,1,Within survey limits,,,,,,,,,
2014-15Expt,DARW,CDR_079,Boyd Wykes,,2014/09/05,10:16,,20,2014,"Birdlife 2 ha, 20 minute search",1,,,7,Calm,,Petroica goodenovii,Red-capped Robin,1,Within survey limits,,,,,,,,,
2014-15Expt,DARW,CDR_079,Boyd Wykes,,2014/09/05,10:16,,20,2014,"Birdlife 2 ha, 20 minute search",1,,,7,Calm,,Lichenostomus virescens,Singing Honeyeater,1,Within survey limits,,,,,,,,,
2014-15Expt,DARW,CDR_079,Boyd Wykes,,2014/09/05,10:16,,20,2014,"Birdlife 2 ha, 20 minute search",1,,,7,Calm,,Pardalotus striatus,Striated Pardalote,1,Within survey limits,,,,,,,,,
2014-15Expt,DARW,CDR_079,Boyd Wykes,,2014/09/05,10:16,,20,2014,"Birdlife 2 ha, 20 minute search",1,,,7,Calm,,Pomatostomus superciliosus,White-browed Babbler,3,Within survey limits,,,,,,,,,
2014-15Expt,DARW,CDR_079,Stewart Ford,,2014/09/05,10:46,,20,2014,"Birdlife 2 ha, 20 minute search",1,,,7,Leaves,,Colluricincla harmonica,Grey Shrike-thrush,1,Within survey limits,,,,,,,,,
2014-15Expt,DARW,CDR_079,Stewart Ford,,2014/09/05,10:46,,20,2014,"Birdlife 2 ha, 20 minute search",1,,,7,Leaves,,Pardalotus striatus,Striated Pardalote,1,Within survey limits,,,,,,,,,
2014-15Expt,DARW,CDR_079,Stewart Ford,,2014/09/05,10:46,,20,2014,"Birdlife 2 ha, 20 minute search",1,,,7,Leaves,,Pomatostomus superciliosus,White-browed Babbler,1,Within survey limits,,,,,,,,,
2014-15Expt,DARW,CDR_020,Stewart Ford,,2014/09/06,13:25,,20,2014,"Birdlife 2 ha, 20 minute search",1,,,6,Branches,,Eolophus roseicapillus,Galah,3,Within survey limits,,,,,,,,,
2014-15Expt,DARW,CDR_020,Stewart Ford,,2014/09/06,13:25,,20,2014,"Birdlife 2 ha, 20 minute search",1,,,6,Branches,,Lichenostomus ornatus,Yellow-plumed Honeyeater,2,Within survey limits,,,,,,,,,
2014-15Expt,DARW,CDR_020,Stewart Ford,,2014/09/06,14:50,,20,2014,"Birdlife 2 ha, 20 minute search",1,,,7,Branches,,Coracina novaehollandiae,Black-faced Cuckoo-shrike,1,Within survey limits,,,,,,,,,
2014-15Expt,DARW,CDR_020,Frank O'Connor,,2014/09/06,15:56,,20,2014,"Birdlife 2 ha, 20 minute search",1,,,5,Branches,,Eolophus roseicapillus,Galah,1,Within survey limits,,,,,,,,,
2014-15Expt,DARW,CDR_020,Frank O'Connor,,2014/09/06,15:56,,20,2014,"Birdlife 2 ha, 20 minute search",1,,,5,Branches,,Lichenostomus ornatus,Yellow-plumed Honeyeater,1,Within survey limits,,,,,,,,,
2014-15Expt,DARW,CDR_021,Frank O'Connor,,2014/09/06,13:25,,20,2014,"Birdlife 2 ha, 20 minute search",1,,,7,Branches,,Eolophus roseicapillus,Galah,1,Within survey limits,,,,,,,,,
2014-15Expt,DARW,CDR_021,Frank O'Connor,,2014/09/06,13:25,,20,2014,"Birdlife 2 ha, 20 minute search",1,,,7,Branches,,Petroica goodenovii,Red-capped Robin,1,Within survey limits,,,,,,,,,
2014-15Expt,DARW,CDR_021,Liz Fox,,2014/09/06,14:42,,20,2014,"Birdlife 2 ha, 20 minute search",1,,,NA,Branches,,Lichenostomus virescens,Singing Honeyeater,1,Within survey limits,,,,,,,,,
2014-15Expt,DARW,CDR_021,Boyd Wykes,,2014/09/06,15:50,,20,2014,"Birdlife 2 ha, 20 minute search",1,,,2,Branches,,Colluricincla harmonica,Grey Shrike-thrush,1,Within survey limits,,,,,,,,,
2014-15Expt,DARW,CDR_021,Boyd Wykes,,2014/09/06,15:50,,20,2014,"Birdlife 2 ha, 20 minute search",1,,,2,Branches,,Acanthiza apicalis,Inland Thornbill,1,Within survey limits,,,,,,,,,
2014-15Expt,DARW,CDR_021,Boyd Wykes,,2014/09/06,15:50,,20,2014,"Birdlife 2 ha, 20 minute search",1,,,2,Branches,,Petroica goodenovii,Red-capped Robin,3,Within survey limits,,,,,,,,,
2014-15Expt,DARW,CDR_022,Boyd Wykes,,2014/09/06,13:30,,20,2014,"Birdlife 2 ha, 20 minute search",1,,,6,Branches,,Corvus coronoides,Australian Raven,1,Within survey limits,,,,,,,,,
