OID_,Prj_Cde,Site_Code,GlobalID,MGA_Zone,Easting_MGA,Northing_MGA,Latitude_GDA2020,Longitude_GDA2020,NVIS_Maj_Veg_Subgroup,PrjTargtID,TargetID,TargetName,Establishment_Date,last_edited_date,Location,Monumentation,Comments,Status,2020 fire impact,2020 fire severity,Revegetation zone,Baiting___Feral_Predators,Baiting___Grooming_Traps,Baiting___Pigs,Baiting___Rabbits,Bird_Survey,Motion_Camera_Survey,Native_Fauna_Trapping,Sand_Pad_Survey,Nestbox_Survey,Vegetation_Monitoring___Photo_Points,Vegetation_Monitoring___Tree_Health_Quadrat,Vegetation_Monitoring___Quadrat_Species,Vegetation_Monitoring___Vegetation_Intercept,Legacy_PropDB_Site_ID
4410,SCOT,SCOT_0043,{A45C2E70-CC83-4C04-8738-81032B45EDC0},55,693159.782699999981560,6025307.753299999982119,-35.89746886,149.140256633000035,Other tussock grasslands,SCOT_T01,T01,Grassy Box-Gum Woodlands,,1/11/2023 23:14,,,This site was imported from ArcGIS Online from the point layer 'site_locations_0' within the feature layer 'camera locations'. The original OBJECTID was 2. The original 'ID' as it was prescribed by Brett Howland at time of creation was 2. The original GlobalID was fe948f22-7322-4e78-bd64-9a271e57f994. These are former small mammal camera monitoring sites.,Decommissioned,,,,No,No,No,No,No,Yes,No,No,No,No,No,No,No,
4411,SCOT,SCOT_0044,{275DA54A-E344-4163-A453-7A9E5D009E61},55,693185.476900000008754,6025391.037800000049174,-35.89671341,149.140520942000080,Other tussock grasslands,SCOT_T01,T01,Grassy Box-Gum Woodlands,,1/11/2023 23:14,,,This site was imported from ArcGIS Online from the point layer 'site_locations_0' within the feature layer 'camera locations'. The original OBJECTID was 3. The original 'ID' as it was prescribed by Brett Howland at time of creation was 3. The original GlobalID was 2249ec86-5de5-4cfd-b8b0-b39ea876cba3. These are former small mammal camera monitoring sites.,Decommissioned,,,,No,No,No,No,No,Yes,No,No,No,No,No,No,No,
4412,SCOT,SCOT_0045,{688E306E-4DDB-41EA-BDDD-D554814C870C},55,692988.478000000002794,6026841.587899999693036,-35.8836831,149.137988002000043,Other tussock grasslands,SCOT_T04,T04,Gungoandra Creek And Tributaries,,1/11/2023 23:14,,,This site was imported from ArcGIS Online from the point layer 'site_locations_0' within the feature layer 'camera locations'. The original OBJECTID was 4. The original 'ID' as it was prescribed by Brett Howland at time of creation was 5. The original GlobalID was 6321bc67-ca95-4132-b4e9-df3fa8bbd507. These are former small mammal camera monitoring sites.,Decommissioned,,,,No,No,No,No,No,Yes,No,No,No,No,No,No,No,
4413,SCOT,SCOT_0046,{45608678-5895-45CB-8D92-219F1AB8A2BA},55,692920.355899999965914,6026862.332899999804795,-35.88350962,149.137228771000082,Other tussock grasslands,SCOT_T04,T04,Gungoandra Creek And Tributaries,,1/11/2023 23:14,,,This site was imported from ArcGIS Online from the point layer 'site_locations_0' within the feature layer 'camera locations'. The original OBJECTID was 5. The original 'ID' as it was prescribed by Brett Howland at time of creation was 4. The original GlobalID was 4c80c819-b694-4a7c-91a8-13941dca273b. These are former small mammal camera monitoring sites.,Decommissioned,,,,No,No,No,No,No,Yes,No,No,No,No,No,No,No,
4414,SCOT,SCOT_0047,{3689D80E-83E1-4CBC-95E6-5E4FBB20EE64},55,692217.697299999999814,6026363.620000000111759,-35.88814119,149.129569698000068,Eucalyptus open forests with a grassy understorey,SCOT_T03,T03,Shrubby Eucalypt Woodland,,1/11/2023 23:14,,,Big ol dead tree. This site was imported from ArcGIS Online from the point layer 'site_locations_0' within the feature layer 'camera locations'. The original OBJECTID was 6. The original 'ID' as it was prescribed by Brett Howland at time of creation was 6. The original GlobalID was 1f2dc062-a7b1-42ef-8f39-fc6a94560a75. These are former small mammal camera monitoring sites.,Decommissioned,,,,No,No,No,No,No,Yes,No,No,No,No,No,No,No,
4415,SCOT,SCOT_0048,{9EC89293-3129-4B71-A2C0-7B9CA6872D65},55,692330.307900000014342,6026228.911299999803305,-35.88933278,149.130849062000038,Other tussock grasslands,SCOT_T01,T01,Grassy Box-Gum Woodlands,,1/11/2023 23:14,,,This site was imported from ArcGIS Online from the point layer 'site_locations_0' within the feature layer 'camera locations'. The original OBJECTID was 7. The original 'ID' as it was prescribed by Brett Howland at time of creation was 7. The original GlobalID was ec628b4c-d016-4600-926c-22fe54374d0d. These are former small mammal camera monitoring sites.,Decommissioned,,,,No,No,No,No,No,Yes,No,No,No,No,No,No,No,
4416,SCOT,SCOT_0049,{C97D2A8F-F0D0-48A7-AB20-636FBF63BFB7},55,692166.101499999989755,6026535.862800000235438,-35.88659944,149.128956867000056,Eucalyptus open forests with a grassy understorey,SCOT_T03,T03,Shrubby Eucalypt Woodland,,1/11/2023 23:14,,,This site was imported from ArcGIS Online from the point layer 'site_locations_0' within the feature layer 'camera locations'. The original OBJECTID was 8. The original 'ID' as it was prescribed by Brett Howland at time of creation was 8. The original GlobalID was 401dc154-60ab-4637-92b8-7744aae85d1a. These are former small mammal camera monitoring sites.,Decommissioned,,,,No,No,No,No,No,Yes,No,No,No,No,No,No,No,
4417,SCOT,SCOT_0050,{2E6EC797-E23E-4F20-9075-AC42BE95DC5D},55,692795.756000000052154,6025810.519700000062585,-35.89301083,149.136103899000091,Other tussock grasslands,SCOT_T01,T01,Grassy Box-Gum Woodlands,,1/11/2023 23:14,,,This site was imported from ArcGIS Online from the point layer 'site_locations_0' within the feature layer 'camera locations'. The original OBJECTID was 9. The original 'ID' as it was prescribed by Brett Howland at time of creation was 9. The original GlobalID was 3992adc3-ca43-4479-ac8a-2d4781c642e0. These are former small mammal camera monitoring sites.,Decommissioned,,,,No,No,No,No,No,Yes,No,No,No,No,No,No,No,
4418,SCOT,SCOT_0051,{30B4DF72-87D9-45E6-88A3-E82E5E4F7AD5},55,692742.595600000000559,6025750.271599999628961,-35.89356413,149.135529853000094,Other tussock grasslands,SCOT_T01,T01,Grassy Box-Gum Woodlands,,1/11/2023 23:14,,,This site was imported from ArcGIS Online from the point layer 'site_locations_0' within the feature layer 'camera locations'. The original OBJECTID was 10. The original 'ID' as it was prescribed by Brett Howland at time of creation was 10. The original GlobalID was 2ffd89ec-b70c-443c-8b19-82c763a22c2b. These are former small mammal camera monitoring sites.,Decommissioned,,,,No,No,No,No,No,Yes,No,No,No,No,No,No,No,
4419,SCOT,SCOT_0052,{E626E20C-319B-48F9-B04F-972581DBD828},55,692830.014800000004470,6025560.075699999928474,-35.89526053,149.136543892000077,Other tussock grasslands,SCOT_T01,T01,Grassy Box-Gum Woodlands,,1/11/2023 23:14,,,This site was imported from ArcGIS Online from the point layer 'site_locations_0' within the feature layer 'camera locations'. The original OBJECTID was 11. The original 'ID' as it was prescribed by Brett Howland at time of creation was 11. The original GlobalID was 5c4c6883-c7ce-4b90-b1af-c931d88bb2d0. These are former small mammal camera monitoring sites.,Decommissioned,,,,No,No,No,No,No,Yes,No,No,No,No,No,No,No,
4420,SCOT,SCOT_0053,{E46F41E0-806F-4D9A-94DB-232D298025E0},55,694109.406399999978021,6023199.970999999903142,-35.91627143,149.151286243000072,Eucalyptus open forests with a grassy understorey,SCOT_T01,T01,Grassy Box-Gum Woodlands,,1/11/2023 23:14,,,This site was imported from ArcGIS Online from the point layer 'site_locations_0' within the feature layer 'camera locations'. The original OBJECTID was 12. The original 'ID' as it was prescribed by Brett Howland at time of creation was 12. The original GlobalID was bc4a01e9-2fc3-4cb7-9590-ff85e7e265e9. These are former small mammal camera monitoring sites.,Decommissioned,,,,No,No,No,No,No,Yes,No,No,No,No,No,No,No,
4421,SCOT,SCOT_0054,{942D1757-EAFE-4E44-BBCB-E09B1F4E90A4},55,693773.183799999998882,6024326.165699999779463,-35.90619142,149.147287970000093,Eucalyptus open forests with a grassy understorey,SCOT_T01,T01,Grassy Box-Gum Woodlands,,1/11/2023 23:14,,,This site was imported from ArcGIS Online from the point layer 'site_locations_0' within the feature layer 'camera locations'. The original OBJECTID was 13. The original 'ID' as it was prescribed by Brett Howland at time of creation was 18. The original GlobalID was 02224982-ecd0-458a-b6c9-d8816f3cfd03. These are former small mammal camera monitoring sites.,Decommissioned,,,,No,No,No,No,No,Yes,No,No,No,No,No,No,No,
4422,SCOT,SCOT_0055,{6E4C1FAE-AFE5-4BDE-A518-95E77824391E},55,693826.344099999987520,6024394.683500000275671,-35.90556356,149.147860002000016,Eucalyptus open forests with a grassy understorey,SCOT_T01,T01,Grassy Box-Gum Woodlands,,1/11/2023 23:14,,,This site was imported from ArcGIS Online from the point layer 'site_locations_0' within the feature layer 'camera locations'. The original OBJECTID was 14. The original 'ID' as it was prescribed by Brett Howland at time of creation was 17. The original GlobalID was 3105c5a0-adf9-4439-ae23-bff855ea46c1. These are former small mammal camera monitoring sites.,Decommissioned,,,,No,No,No,No,No,Yes,No,No,No,No,No,No,No,
4423,SCOT,SCOT_0056,{742386C3-9E60-4149-B73D-311A33AD23A3},55,692473.567000000039116,6026513.533200000412762,-35.88674021,149.132366475000026,Other tussock grasslands,SCOT_T01,T01,Grassy Box-Gum Woodlands,,1/11/2023 23:14,,,Near log at base of tree just east of site. This site was imported from ArcGIS Online from the point layer 'site_locations_0' within the feature layer 'camera locations'. The original OBJECTID was 15. The original 'ID' as it was prescribed by Brett Howland at time of creation was 14. The original GlobalID was 8e2da540-0253-460a-80bb-0d6ed7734ddf. These are former small mammal camera monitoring sites.,Decommissioned,,,,No,No,No,No,No,Yes,No,No,No,No,No,No,No,
4424,SCOT,SCOT_0057,{4755C8E6-E1FC-4720-BD54-106BD5D5B9EC},55,692421.164899999974295,6026577.904400000348687,-35.88617054,149.131770734000042,Other tussock grasslands,SCOT_T01,T01,Grassy Box-Gum Woodlands,,1/11/2023 23:14,,,This site was imported from ArcGIS Online from the point layer 'site_locations_0' within the feature layer 'camera locations'. The original OBJECTID was 16. The original 'ID' as it was prescribed by Brett Howland at time of creation was 13. The original GlobalID was 94bb7b42-011d-4dea-b45c-64b36043afbd. These are former small mammal camera monitoring sites.,Decommissioned,,,,No,No,No,No,No,Yes,No,No,No,No,No,No,No,
4425,SCOT,SCOT_0058,{EFCB9EF7-D3A3-4F52-B280-12380858C647},55,692959.609799999976531,6026586.493599999696016,-35.88598715,149.137730185000009,Other tussock grasslands,SCOT_T01,T01,Grassy Box-Gum Woodlands,,1/11/2023 23:14,,,This site was imported from ArcGIS Online from the point layer 'site_locations_0' within the feature layer 'camera locations'. The original OBJECTID was 17. The original 'ID' as it was prescribed by Brett Howland at time of creation was 15. The original GlobalID was c38ab827-6dc4-4a3f-aef0-54749878912c. These are former small mammal camera monitoring sites.,Decommissioned,,,,No,No,No,No,No,Yes,No,No,No,No,No,No,No,
4426,SCOT,SCOT_0059,{D8A6F954-59E5-4FED-ACB5-F66FD31BE3FC},55,692972.210800000000745,6026527.689000000245869,-35.88651448,149.137883947000091,Other tussock grasslands,SCOT_T02,T02,Native Grasslands,,1/11/2023 23:14,,,This site was imported from ArcGIS Online from the point layer 'site_locations_0' within the feature layer 'camera locations'. The original OBJECTID was 18. The original 'ID' as it was prescribed by Brett Howland at time of creation was 16. The original GlobalID was cd6bc5f9-ce3c-462d-9e36-05debf82328f. These are former small mammal camera monitoring sites.,Decommissioned,,,,No,No,No,No,No,Yes,No,No,No,No,No,No,No,
4427,SCOT,SCOT_0060,{A92A8BB9-CDFC-4582-BBB4-F0DAFFE81F53},55,691433.782000000006519,6024283.999599999748170,-35.90703202,149.121390202000043,Eucalyptus open forests with a grassy understorey,SCOT_T01,T01,Grassy Box-Gum Woodlands,,1/11/2023 23:14,,,This site was imported from ArcGIS Online from the point layer 'site_locations_0' within the feature layer 'camera locations'. The original OBJECTID was 19. The original 'ID' as it was prescribed by Brett Howland at time of creation was 24. The original GlobalID was 2a81efa9-e282-4bde-859b-c1d689e753ea. These are former small mammal camera monitoring sites.,Decommissioned,,,,No,No,No,No,No,Yes,No,No,No,No,No,No,No,
4428,SCOT,SCOT_0061,{85EC95CD-91A3-4017-9ED8-767B2A053961},55,690945.888500000000931,6024651.331000000238419,-35.90381776,149.115898737000066,Eucalyptus open forests with a grassy understorey,SCOT_T03,T03,Shrubby Eucalypt Woodland,,1/11/2023 23:14,,,This site was imported from ArcGIS Online from the point layer 'site_locations_0' within the feature layer 'camera locations'. The original OBJECTID was 20. The original 'ID' as it was prescribed by Brett Howland at time of creation was 25. The original GlobalID was 5054c872-154b-4b76-9804-de5fa59bf2e9. These are former small mammal camera monitoring sites.,Decommissioned,,,,No,No,No,No,No,Yes,No,No,No,No,No,No,No,
4429,SCOT,SCOT_0062,{90882FE8-7B49-43AA-BCFA-05BDA1161CD8},55,690796.777000000001863,6024703.834900000132620,-35.9033738,149.114234834000058,Eucalyptus open forests with a grassy understorey,SCOT_T03,T03,Shrubby Eucalypt Woodland,,1/11/2023 23:14,,,This site was imported from ArcGIS Online from the point layer 'site_locations_0' within the feature layer 'camera locations'. The original OBJECTID was 21. The original 'ID' as it was prescribed by Brett Howland at time of creation was 26. The original GlobalID was 25c43b86-e9aa-49b7-9eb1-636c8daa411c. These are former small mammal camera monitoring sites.,Decommissioned,,,,No,No,No,No,No,Yes,No,No,No,No,No,No,No,
4430,SCOT,SCOT_0063,{A0B05E5B-A2A0-4AA5-9E55-0BCBFDFD5E1A},55,690471.252300000051036,6024737.437500000000000,-35.90313449,149.110621824000077,Eucalyptus open forests with a grassy understorey,SCOT_T03,T03,Shrubby Eucalypt Woodland,,1/11/2023 23:14,,,This site was imported from ArcGIS Online from the point layer 'site_locations_0' within the feature layer 'camera locations'. The original OBJECTID was 22. The original 'ID' as it was prescribed by Brett Howland at time of creation was 27. The original GlobalID was 9f5003de-6047-4134-9dbd-6c29bea5457c. These are former small mammal camera monitoring sites.,Decommissioned,,,,No,No,No,No,No,Yes,No,No,No,No,No,No,No,
4431,SCOT,SCOT_0064,{9ADB49D4-D48F-441F-A8C3-B93C36372B83},55,691525.532800000044517,6024516.920599999837577,-35.90491546,149.122350257000107,Eucalyptus open forests with a grassy understorey,SCOT_T01,T01,Grassy Box-Gum Woodlands,,1/11/2023 23:14,,,This site was imported from ArcGIS Online from the point layer 'site_locations_0' within the feature layer 'camera locations'. The original OBJECTID was 23. The original 'ID' as it was prescribed by Brett Howland at time of creation was 28. The original GlobalID was 05514f1a-8cd6-4237-b17f-b110e2d5dd4a. These are former small mammal camera monitoring sites.,Decommissioned,,,,No,No,No,No,No,Yes,No,No,No,No,No,No,No,
4432,SCOT,SCOT_0065,{4B946C9F-1C75-4D97-9BA5-D83B8A8DB648},55,691321.817299999995157,6025029.359799999743700,-35.9003383,149.119971025000041,Eucalyptus open forests with a grassy understorey,SCOT_T01,T01,Grassy Box-Gum Woodlands,,1/11/2023 23:14,,,This site was imported from ArcGIS Online from the point layer 'site_locations_0' within the feature layer 'camera locations'. The original OBJECTID was 24. The original 'ID' as it was prescribed by Brett Howland at time of creation was 29. The original GlobalID was 655527a8-818f-462b-b993-65d7189d5626. These are former small mammal camera monitoring sites.,Decommissioned,,,,No,No,No,No,No,Yes,No,No,No,No,No,No,No,
4433,SCOT,SCOT_0066,{92FE686D-5127-4E41-AE45-94EFB64EF610},55,691284.014399999985471,6024955.854100000113249,-35.90100798,149.119570067000041,Eucalyptus open forests with a grassy understorey,SCOT_T01,T01,Grassy Box-Gum Woodlands,,1/11/2023 23:14,,,This site was imported from ArcGIS Online from the point layer 'site_locations_0' within the feature layer 'camera locations'. The original OBJECTID was 25. The original 'ID' as it was prescribed by Brett Howland at time of creation was 30. The original GlobalID was 00eb46a0-bb02-40cd-ad90-27519c2f30d3. These are former small mammal camera monitoring sites.,Decommissioned,,,,No,No,No,No,No,Yes,No,No,No,No,No,No,No,
4434,SCOT,SCOT_0067,{B8DC4A2B-8D8C-43BE-ACA2-4E3978BF4B3E},55,691233.610499999951571,6024775.240399999544024,-35.90264514,149.119055295000067,Eucalyptus open forests with a grassy understorey,SCOT_T01,T01,Grassy Box-Gum Woodlands,,1/11/2023 23:14,,,This site was imported from ArcGIS Online from the point layer 'site_locations_0' within the feature layer 'camera locations'. The original OBJECTID was 26. The original 'ID' as it was prescribed by Brett Howland at time of creation was 31. The original GlobalID was ac47369d-c76a-444c-8e26-3e39edcf431c. These are former small mammal camera monitoring sites.,Decommissioned,,,,No,No,No,No,No,Yes,No,No,No,No,No,No,No,
4435,SCOT,SCOT_0068,{3BAF4F7E-47E2-45D1-91ED-67A7AC7C0682},55,691189.507100000046194,6024697.534400000236928,-35.90335389,149.118585553000116,Eucalyptus open forests with a grassy understorey,SCOT_T01,T01,Grassy Box-Gum Woodlands,,1/11/2023 23:14,,,This site was imported from ArcGIS Online from the point layer 'site_locations_0' within the feature layer 'camera locations'. The original OBJECTID was 27. The original 'ID' as it was prescribed by Brett Howland at time of creation was 32. The original GlobalID was e939d3dc-0a12-43bc-950b-2e520d88dd61. These are former small mammal camera monitoring sites.,Decommissioned,,,,No,No,No,No,No,Yes,No,No,No,No,No,No,No,
4436,SCOT,SCOT_0069,{3F6BD498-36EA-4FD7-80C9-106376815F76},55,691433.125699999975041,6025705.611499999649823,-35.89422357,149.121041015000060,Eucalyptus open forests with a grassy understorey,SCOT_T01,T01,Grassy Box-Gum Woodlands,,1/11/2023 23:14,,,This site was imported from ArcGIS Online from the point layer 'site_locations_0' within the feature layer 'camera locations'. The original OBJECTID was 28. The original 'ID' as it was prescribed by Brett Howland at time of creation was 33. The original GlobalID was cf5ec08a-afc8-4cf5-97af-f82b517b5b8c. These are former small mammal camera monitoring sites.,Decommissioned,,,,No,No,No,No,No,Yes,No,No,No,No,No,No,No,
4437,SCOT,SCOT_0070,{87D4AEFA-C03B-4373-94E1-3DA2DE0B33BC},55,691443.626500000013039,6025781.217199999839067,-35.89354031,149.121139111000048,Eucalyptus open forests with a grassy understorey,SCOT_T03,T03,Shrubby Eucalypt Woodland,,1/11/2023 23:14,,,This site was imported from ArcGIS Online from the point layer 'site_locations_0' within the feature layer 'camera locations'. The original OBJECTID was 29. The original 'ID' as it was prescribed by Brett Howland at time of creation was 34. The original GlobalID was d625f07f-c6dc-4a1e-989a-abfdea618ab7. These are former small mammal camera monitoring sites.,Decommissioned,,,,No,No,No,No,No,Yes,No,No,No,No,No,No,No,
4438,SCOT,SCOT_0071,{B1F3BF43-618C-4E5C-BAE1-4C5E6D0F6867},55,691340.718699999968521,6026031.136400000192225,-35.89130869,149.119939568000063,Eucalyptus open forests with a grassy understorey,SCOT_T03,T03,Shrubby Eucalypt Woodland,,1/11/2023 23:14,,,This site was imported from ArcGIS Online from the point layer 'site_locations_0' within the feature layer 'camera locations'. The original OBJECTID was 30. The original 'ID' as it was prescribed by Brett Howland at time of creation was 35. The original GlobalID was d602c25b-69c0-4f3a-ab32-63868e8c39a1. These are former small mammal camera monitoring sites.,Decommissioned,,,,No,No,No,No,No,Yes,No,No,No,No,No,No,No,
4439,SCOT,SCOT_0072,{BA3C971D-5D8E-4413-A6AB-19C8AE8CABF0},55,691342.818899999954738,6025970.231800000183284,-35.89185702,149.119977457000118,Eucalyptus open forests with a grassy understorey,SCOT_T03,T03,Shrubby Eucalypt Woodland,,1/11/2023 23:14,,,This site was imported from ArcGIS Online from the point layer 'site_locations_0' within the feature layer 'camera locations'. The original OBJECTID was 31. The original 'ID' as it was prescribed by Brett Howland at time of creation was 36. The original GlobalID was 927e5051-5a38-4add-acea-b0ae2added6e. These are former small mammal camera monitoring sites.,Decommissioned,,,,No,No,No,No,No,Yes,No,No,No,No,No,No,No,
4440,SCOT,SCOT_0073,{0E6089A6-422D-437B-AB69-12739C0CF69E},55,691281.914199999999255,6026140.344700000248849,-35.89033623,149.119262216000038,Eucalyptus open forests with a grassy understorey,SCOT_T03,T03,Shrubby Eucalypt Woodland,,1/11/2023 23:14,,,This site was imported from ArcGIS Online from the point layer 'site_locations_0' within the feature layer 'camera locations'. The original OBJECTID was 32. The original 'ID' as it was prescribed by Brett Howland at time of creation was 37. The original GlobalID was 2afe4ce3-d0d1-4cbf-9e7e-9ad83fe7ff8d. These are former small mammal camera monitoring sites.,Decommissioned,,,,No,No,No,No,No,Yes,No,No,No,No,No,No,No,
4441,SCOT,SCOT_0074,{CEBFD97F-6CDF-43EC-AD47-556CAA2ECCEF},55,691689.430599999963306,6023672.572700000368059,-35.91249082,149.124368767000078,Eucalyptus open forests with a grassy understorey,SCOT_T03,T03,Shrubby Eucalypt Woodland,,1/11/2023 23:14,,,This site was imported from ArcGIS Online from the point layer 'site_locations_0' within the feature layer 'camera locations'. The original OBJECTID was 33. The original 'ID' as it was prescribed by Brett Howland at time of creation was 23. The original GlobalID was 60ceae82-6fa5-42ab-8264-aa62314ba4e8. These are former small mammal camera monitoring sites.,Decommissioned,,,,No,No,No,No,No,Yes,No,No,No,No,No,No,No,
4442,SCOT,SCOT_0075,{AB059EA9-9E62-4066-9DE5-795E023402C8},55,691653.511399999959394,6026351.870299999602139,-35.8883577,149.123325798000110,Eucalyptus open forests with a grassy understorey,SCOT_T03,T03,Shrubby Eucalypt Woodland,,1/11/2023 23:14,,,This site was imported from ArcGIS Online from the point layer 'site_locations_0' within the feature layer 'camera locations'. The original OBJECTID was 34. The original 'ID' as it was prescribed by Brett Howland at time of creation was 38. The original GlobalID was 7ef10576-7eb2-404b-bbe9-e7d59f7e8fbd. These are former small mammal camera monitoring sites.,Decommissioned,,,,No,No,No,No,No,Yes,No,No,No,No,No,No,No,
4443,SCOT,SCOT_0076,{0AE0BDD3-553F-4B4B-A7D3-D4181A884CFE},55,691965.385099999955855,6026661.381299999542534,-35.88550792,149.126704308000058,Eucalyptus open forests with a grassy understorey,SCOT_T03,T03,Shrubby Eucalypt Woodland,,1/11/2023 23:14,,,out. This site was imported from ArcGIS Online from the point layer 'site_locations_0' within the feature layer 'camera locations'. The original OBJECTID was 35. The original 'ID' as it was prescribed by Brett Howland at time of creation was 39. The original GlobalID was 66ea84da-2293-4430-8821-dfca6720621e. These are former small mammal camera monitoring sites.,Decommissioned,,,,No,No,No,No,No,Yes,No,No,No,No,No,No,No,
4444,SCOT,SCOT_0077,{A953811A-3679-4071-8F3B-04368C2627F8},55,691390.857799999997951,6023609.534799999557436,-35.91311727,149.121077084000035,Eucalyptus open forests with a grassy understorey,SCOT_T03,T03,Shrubby Eucalypt Woodland,,1/11/2023 23:14,,,225. This site was imported from ArcGIS Online from the point layer 'site_locations_0' within the feature layer 'camera locations'. The original OBJECTID was 36. The original 'ID' as it was prescribed by Brett Howland at time of creation was 19. The original GlobalID was 850762dd-246a-4d44-9c3f-7eaaf7081635. These are former small mammal camera monitoring sites.,Decommissioned,,,,No,No,No,No,No,Yes,No,No,No,No,No,No,No,
